"","FID","LE_ID","ENGLISH","COUNTY","GUID","Pop2016","C19_P14_T","P14_100k","P14_100k_T","Ire_IncP14","EventDate"
"1",1,13170402,"BALLYBAY-CLONES LEA-5","MONAGHAN","2ae19629-3f20-13a3-e055-000000000001",17255,"12",69.5,"69.5",88.2,"2020/09/28 00:00:00+00"
"2",2,1380405,"CLANE LEA-5","KILDARE","2ae19629-3ef4-13a3-e055-999880000001",28437,"6",21.1,"21.1",88.2,"2020/09/28 00:00:00+00"
"3",3,1320400,"CAVAN - BELTURBET LEA-6","CAVAN","2ae19629-3f29-13a3-e055-000000000001",25959,"7",27,"27",88.2,"2020/09/28 00:00:00+00"
"4",4,13260412,"TALLAGHT CENTRAL LEA-6","DUBLIN","2ae19629-3f51-13a3-e055-000000000001",43215,"59",136.5,"136.5",88.2,"2020/09/28 00:00:00+00"
"5",5,13230401,"MOATE LEA-4","WESTMEATH","2ae19629-3f37-13a3-e055-000000000001",18444,"5",27.1,"27.1",88.2,"2020/09/28 00:00:00+00"
"6",6,13210400,"NENAGH LEA-5","TIPPERARY","2ae19629-3f2c-13a3-e055-000000000001",21373,"8",37.4,"37.4",88.2,"2020/09/28 00:00:00+00"
"7",7,13140400,"DUNDALK-CARLINGFORD LEA-6","LOUTH","2ae19629-3f10-13a3-e055-000000000001",25599,"34",132.8,"132.8",88.2,"2020/09/28 00:00:00+00"
"8",8,13260422,"BALLYFERMOT-DRIMNAGH LEA-5","DUBLIN","2ae19629-3f58-13a3-e055-000000000001",46068,"85",184.5,"184.5",88.2,"2020/09/28 00:00:00+00"
"9",9,13260406,"DUNDRUM LEA-7","DUBLIN","2ae19629-3efd-13a3-e055-000000000001",37452,"33",88.1,"88.1",88.2,"2020/09/28 00:00:00+00"
"10",10,13260404,"HOWTH-MALAHIDE LEA-7","DUBLIN","2ae19629-3efb-13a3-e055-000000000001",56139,"83",147.8,"147.8",88.2,"2020/09/28 00:00:00+00"
"11",11,13260419,"PALMERSTOWN-FONTHILL LEA-5","DUBLIN","2ae19629-3ef4-13a3-e055-999770000001",38035,"70",184,"184",88.2,"2020/09/28 00:00:00+00"
"12",12,13260402,"BLANCHARDSTOWN-MULHUDDART LEA-5","DUBLIN","2ae19629-3ef9-13a3-e055-000000000001",35307,"48",136,"136",88.2,"2020/09/28 00:00:00+00"
